Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C_VFC_L1,1uF,R_0805_2012Metric,135.1003,-40.386,0,top
C_VFC_in1,100 nF,C_0603_1608Metric,136.7536,-25.10536,90,top
C_VFC_t1,220 NF,C_0603_1608Metric,140.19276,-25.10536,90,top
Ct1,10 UF,C_0805_2012Metric,143.90116,-25.26792,270,top
Ct3,100 nF,C_0603_1608Metric,193.6877,-122.3644,90,top
Ct4,100 nF,C_0603_1608Metric,193.8655,-114.6555,90,top
Ct5,100 nF,C_0603_1608Metric,193.802,-105.8291,90,top
Ct6,100 nF,C_0603_1608Metric,132.8293,-25.08006,90,top
Ct7,100 nF,C_0603_1608Metric,192.7098,-99.1744,270,top
J2,Conn_02x20_Odd_Even,PinHeader_2x20_P1.27mm_Vertical_SMD,197.8348,-75.0189,0,top
R45,10k,R_1206_3216Metric,122.7835,-118.0161,0,top
R55,47k,R_0805_2012Metric,186.6011,-71.5137,0,top
R56,47k,R_0805_2012Metric,186.5607,-62.3189,0,top
R59,2k2,R_0805_2012Metric,186.5607,-66.7893,180,top
R60,2k2,R_0805_2012Metric,182.3974,-66.802,0,top
R61,2k87,R_0805_2012Metric,182.514,-71.501,0,top
R62,2k87,R_0805_2012Metric,182.3189,-62.3062,0,top
R63,1k2Ohm,R_0603_1608Metric,196.4944,-122.4152,90,top
R64,10kOhm,R_1206_3216Metric,195.0944,-126.4158,0,top
R65,1k2Ohm,R_0603_1608Metric,196.6595,-114.7317,270,top
R66,10kOhm,R_1206_3216Metric,195.2595,-118.0719,0,top
R67,1k2Ohm,R_0603_1608Metric,196.5833,-105.8544,270,top
R68,10kOhm,R_1206_3216Metric,195.202,-110.0963,0,top
R69,10kOhm,R_1206_3216Metric,169.7893,-107.6071,180,top
R70,47k,R_0805_2012Metric,169.5958,-103.5812,180,top
R71,200,R_0402_1005Metric,33.2891,-116.7511,0,top
R72,200,R_0402_1005Metric,38.3056,-66.9798,0,top
R73,200,R_0402_1005Metric,38.2548,-62.9793,0,top
R74,1k,R_0805_2012Metric,157.7825,-120.7643,0,top
R75,1k,R_0805_2012Metric,157.719,-117.3607,0,top
R76,1k,R_0805_2012Metric,157.6301,-113.9952,0,top
R77,1k,R_0805_2012Metric,157.6047,-110.6805,0,top
R78,10kOhm,R_1206_3216Metric,153.6162,-98.8822,0,top
R79,10kOhm,R_1206_3216Metric,153.5968,-96.3422,0,top
R80,47 Ohm,R_0805_2012Metric,142.71752,-40.2336,180,top
R_VFC_in1,200 Ohm,R_0402_1005Metric,123.2154,-24.09712,270,top
R_VFC_s1,1k,R_0603_1608Metric,130.90906,-40.49776,0,top
R_VFC_t1,15kOhm,R_0402_1005Metric,126.74092,-23.9498,90,top
Rl6,200,R_0402_1005Metric,171.3206,-110.109,0,top
Rl7,200,R_0402_1005Metric,171.3841,-112.6617,0,top
Rl8,200,R_0402_1005Metric,171.2063,-115.2017,0,top
Rl9,200,R_0402_1005Metric,171.2317,-117.7544,0,top
Rl10,200,R_0402_1005Metric,171.3508,-120.2563,0,top
Rl11,200,R_0402_1005Metric,192.7225,-95.7072,90,top
Rl12,200,R_0402_1005Metric,89.36736,-96.15424,180,top
Rl13,200,R_0402_1005Metric,78.74268,-85.87232,180,top
Rl14,200,R_0402_1005Metric,93.3172,-93.4085,180,top
Rl15,200,R_0402_1005Metric,93.55596,-100.07092,180,top
Rl16,200,R_0402_1005Metric,62.6388,-56.4515,180,top
Rl17,200,R_0402_1005Metric,77.3279,-55.1688,0,top
U1,LM2901,SOIC-14_3.9x8.7mm_P1.27mm,136.3853,-69.9531,270,top
